COMPONENT_ID,sponsor_name
P-2-28,Adlai Stevenson
P-124-1160,Al Gore
P-1088-45446,Alan Cranston
P-1771-101620,Al Gore
P-1635-83018,Al Gore
P-1625-82571,Al Gore
P-1771-101613,Al Gore
P-1616-82759,Al Gore
P-1616-82779,Al Gore
P-1617-83687,Al Gore
P-1625-82328,Al Gore
P-1635-83016,Al Gore
P-1332-64012,Al Gore
P-1066-44077,Alexander Haig
P-2114-141381,Barack Obama
P-2116-141497,Barack Obama
P-2089-139967,Barack Obama
P-1910-108897,Barack Obama
P-1958-132491,Barack Obama
P-2087-139878,Barack Obama
P-2014-136255,Barack Obama
P-1952-132053,Barack Obama
P-2054-138204,Barack Obama
P-2115-141457,Barack Obama
P-1954-132204,Barack Obama
P-1955-132243,Barack Obama
P-1958-132507,Barack Obama
P-1957-132420,Barack Obama
P-2121-141904,Barack Obama
P-1958-132465,Barack Obama
P-2087-139831,Barack Obama
P-2089-139968,Barack Obama
P-1954-132192,Barack Obama
P-1955-132275,Barack Obama
P-13-223,Barry Goldwater
P-143-5949,Barry Goldwater
P-1081-45113,Barry Goldwater
P-13-226,Barry Goldwater
P-13-212,Barry Goldwater
P-13-236,Barry Goldwater
P-1353-63367,Bob Dole
P-156-1228,Bob Dole
P-1432-69061,Bob Dole
P-1791-92878,Dennis Kucinich
P-1114-47162,Dick Gephardt
P-1-18,Dwight D. Eisenhower
P-1-5,Dwight D. Eisenhower
P-1500-75016,Dwight D. Eisenhower
P-1581-79624,Dwight D. Eisenhower
P-146-10575,Edmund Muskie
P-146-10576,Edmund Muskie
P-1570-78902,Fred R. Harris
P-1190-35243,Gary Hart
P-1318-60594,Gary Hart
P-100-853,Gary Hart
P-1232-57586,George H.W. Bush
P-1069-44303,George H.W. Bush
P-1231-57463,George H.W. Bush
P-1023-41366,George H.W. Bush
P-1084-45258,George H.W. Bush
P-71-769,George H.W. Bush
P-1201-52329,George H.W. Bush
P-1113-47102,George H.W. Bush
P-71-765,George H.W. Bush
P-1197-52122,George H.W. Bush
P-500-94376,George H.W. Bush
P-68-747,George H.W. Bush
P-1113-47099,George H.W. Bush
P-149-10676,George McGovern
P-29-432,George McGovern
P-148-10653,George McGovern
P-312-14718,George McGovern
P-1570-78926,George McGovern
P-23-394,George McGovern
P-475-96915,George W. Bush
P-475-96911,George W. Bush
P-1818-102759,George W. Bush
P-1818-102790,George W. Bush
P-1818-102796,George W. Bush
P-1818-102785,George W. Bush
P-214-12350,Gerald Ford
P-214-12329,Gerald Ford
P-212-12306,Gerald Ford
P-34-538,Gerald Ford
P-34-547,Gerald Ford
P-212-12319,Gerald Ford
P-602-114531,Hillary Clinton
P-1895-107908,Hillary Clinton
P-1798-102543,Howard Dean
P-387-30797,Howard Baker
P-140-10514,Hubert H. Humphrey
P-137-10468,Hubert H. Humphrey
P-17-258,Hubert H. Humphrey
P-17-276,Hubert H. Humphrey
P-17-269,Hubert H. Humphrey
P-17-257,Hubert H. Humphrey
P-17-264,Hubert H. Humphrey
P-167-1249,Jack Kemp
P-1065-44049,Jack Kemp
P-1082-45162,Jerry Brown
P-1012-40693,Jim Lennane
P-197-12138,Jimmy Carter
P-399-31624,Jimmy Carter
P-32-460,Jimmy Carter
P-1183-51855,Jimmy Carter
P-31-450,Jimmy Carter
P-324-14979,Jimmy Carter
P-197-12142,Jimmy Carter
P-197-12141,Jimmy Carter
P-321-14851,Jimmy Carter
P-48-2255,Jimmy Carter
P-374-30448,Jimmy Carter
P-207-12186,Jimmy Carter
P-32-465,Jimmy Carter
P-323-14943,Jimmy Carter
P-210-12264,Jimmy Carter
P-52-2302,Jimmy Carter
P-1798-102499,Joe Lieberman
P-601-114457,John Edwards
P-1498-74101,John F. Kennedy
P-5-61,John F. Kennedy
P-1498-74086,John F. Kennedy
P-139-5881,John F. Kennedy
P-5-100,John F. Kennedy
P-1498-74092,John F. Kennedy
P-142-5896,John F. Kennedy
P-5-65,John F. Kennedy
P-1498-74089,John F. Kennedy
P-143-5941,John F. Kennedy
P-1840-104205,John Kerry
P-1826-103313,John Kerry
P-475-96888,John Kerry
P-1827-103453,John Kerry
P-1826-103333,John Kerry
P-475-96882,John Kerry
P-147-10624,John M. Ashbrook
P-147-10623,John M. Ashbrook
P-1903-108423,John McCain
P-1921-130004,John McCain
P-1904-108500,John McCain
P-1907-108725,John McCain
P-2125-142147,Joe Biden
P-1351-63024,Lamar Alexander
P-129-5788,Lyndon B. Johnson
P-10-189,Lyndon B. Johnson
P-10-196,Lyndon B. Johnson
P-10-182,Lyndon B. Johnson
P-359-9968,Lyndon B. Johnson
