"Title","EmbedCode","Summary_A","Summary_B","Selection"
"P 1500 75016","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/--BAeCHBh18"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad features a cartoon with different types of individuals endorsing the republican candidate and stating their dislike for the Democratic nominees. The ad emphasizes that everyone likes the candidate and that the people will take him to Washington; therefore, now is the time to vote for the candidate.","The advertisement sings along to a tune of """"Ike for president."""" Cartoon Americans and patriotic images stress the concept that everyone supports this candidate and for what he stands. It is expressed that bringing the candidate to Washington would be an American duty that everyone is fulfilling.","2;1"
"P 1436 67065","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/-DCuS2T_iyY"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad criticizes the candidate for denying that he aided in engineering a 100 billion dollar tax increase. The ad cites a news source that confirms the candidate's role in the budget deal and urges the public to see that the candidate only flipped on the deal to cover himself politically. ","The opposing candidate denies having helped to create a $100 billion tax increase, but his significant role in it has been proved by news sources. The opposing candidate then switched his position and voted against the bill. The opponent is negatively characterized as a """"Washington politician.""""","2;1"
"P 1425 66916","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/0rhBETx6jgM"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","A narrator urges the audience to listen to the candidate's message, suggesting it may align with their own beliefs. The candidate then advocates for a robust and strengthened social security system. A slogan affirming the first message of the ad reads: """"In your heart, you know he's right.""""","The advertisement tells viewers to listen and understand that the candidate shares their opinions. The candidate wants a sound and stronger Social Security system. He also wants the dollar to have real purchasing power. It is affirmed that the candidate is right and advised that viewers vote for him.","3;2"
"P 2116 141528","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/1Iu7nao_Ev4"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The opponent is asked his position on women's access to birth control. The advertisement displays information about a related Supreme Court case affirming that protection. The candidate answers that he thinks the issue should be returned to the states, and the candidate is framed as harmful for women.","The ad discusses the candidate's opinion on women's access to birth control. The ad features the candidate's ignorance of the concept by bringing legal precedent up. Thus, the ad emphasizes that because of such views on contraception and women's health, the candidate is wrong for America's women.","1;2"
"P 1905 108595","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/1ZNuDunUAMQ"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses that the people of Florida face an important choice regarding how to elect a president who will fight for them, their family, their income, and control spending. It contrasts the candidate with the opposing candidate and argues that the opposing candidate will fail to achieve this for them.","A former governor advises Florida voters in the presidential election. He compares the candidate with one that will fight for working families, cut spending, and eliminate waste, instead of one who will raise taxes and create a deeper debt. The candidate has the experience and bipartisanship necessary for tough times.","2;1"
"P 2098 140422","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/4l7lH90vGhw"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad portrays that the candidate's plan will take money out of the pockets of the people to give tax breaks to billionaires. The ad urges voter to keep his hands out of their pockets by not voting for him and realizing that he is only running for president for the top 1%.","The advertisement depicts the opposing candidate as trying to steal from the pockets of members of the working class. This """"stolen"""" money would be used to pay for tax breaks for millionaires. The opponent is running to be president for the top 1% instead of the rest of America.","1;2"
"P 1415 68241","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/5qm69xeMyX0"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad discusses the president and his welfare reform, emphasizing his signing of welfare reform, creating jobs through tax incentives, and offering job training for all workers. The candidate is highlighted as someone who can meet America's challenges and move the country forward."," The current president ensures responsibility from those receiving welfare. His welfare reform included work requirements, time limits, and teenage mothers staying in school. His next plans include creating jobs, providing tax incentives, and job training, which the opponents tried to cut. The candidate can move America from welfare to work.","2;1"
"P 1905 108583","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/9S9PSmeTSsE"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad critiques the candidate for representing the wrong kind of change for America and for being friends with many concerning individuals. The ad attacks the candidate's pastor for being racist, the candidate's political alliances, and more. It questions the type of change the candidate wants for America. ","The opposing candidate is described as being the wrong change for Michigan and America. He has alleged negative associations with a domestic terrorist, a racist anti-American pastor, and a disgraced Michigan mayor. The advertisement explains that this is not the kind of change that should be brought to America.","2;1"
"P 2125 142151","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/Cn7gsZUVnkg"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The advertisement focuses on the opposing candidate and the importance of his performance in the debate against the incumbent president. This debate will make or break his race against the candidate. While there are high expectations for the opposing candidate in this debate, his stakes in this are very high.","The ad features multiple discussions about the candidate and the importance of debates. These individuals discuss the candidate and how well he needs to do in the debates to get the support of the people. They all have great expectations for the candidate and expect him to come out of the debates successfully. ","2;1"
"P 1353 63367","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/DKXW68CYpKI"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad criticizes the opposing candidate for supporting an untested radical plan that would end Social Security. It then labels his platform as untested leadership with risky ideas such as the social security plan, and urges voters not to vote for him.","The advertisement explains that the opposing candidate has radical ideas to end Social Security. This is an untested policy which would be a problem for Americans. The candidate's untested leadership and risky ideas are portrayed as negative and are examples of why this opposing candidate should not win.","2;1"
"P 1908 108808","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/DSwz6KRzBMU"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate discusses his strong values and family. He explains his history and how he learned accountability, self-reliance, and hard work. He emphasizes that these values have driven him to work for the people and pass laws to cut taxes, move people from welfare to work, and more. He promises to never forget these values.","The candidate connects with America's strong families and values. Raised by his single mother and grandparents, he was taught accountability, hard work, and self-reliance. He took jobs and loans to get through college. As a senator, he cut taxes and helped working families. He would remember these values as president. ","2;1"
"P 1617 81835","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/E4UYPUQUw10"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad features an introduction of a campaign speech that emphasizes that the next president must be someone with a vision, integrity, and experience to lead us. The candidate then speaks and advocates his two most important beliefs: tax cuts and education for all American Children. ","The advertisement shows a primary campaign speech in New Hampshire at which the candidate is supported as the next president. He is described as having the executive experience necessary to lead America. His two most important issues are tax cuts and child education. This is said to be continued.","1;2"
"P 1817 102732","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/EVTDp8KnOTE"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad attacks a candidate for being indecisive and changing his mind on important issues such as Iraq, taxes, welfare reform, and more. The ad urges viewers to think about whether they can trust him and whether they should vote for him.","The advertisement outlines an analogy with a man whose indecision in life decisions unfolds into chaotic events. Like this man, the candidate has been indecisive about very important policies. Since the candidate has changed his mind on all of these issues, he cannot be trusted as president.","1;2"
"P 1436 67079","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/FcGCDeUruVs"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate explains that a flat tax and a family tax cut are good ideas for Americans. The advertisement details examples of what a family and retired couple would save with a flat tax. The candidate argues that the flat tax is pro-family, and he would support this as president.","The ad endorses the candidate's flat tax that would provide a family tax cut, going on to provide an example of how much a family would save. The candidate emphasizes that the flat tax would strengthen families and be simple and honest, a major change for Washington. ","1;2"
"P 1619 81865","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/GuhnGUbcLeg"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate's mother praises him for his values. The candidate explains that his values are why he proposes to lower the flat tax by 16%, protect unborn children, and to save social security. His message serves to show that he will advance America's values.","Showing family values, the candidate is seated next to his proud mother and describes the important values he learned growing up in working-class Kentucky. In running for president, he prioritizes a flat tax, protecting unborn children, and saving Social Security for present and future generations.","1;2"
"P 1708 90169","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/GxLatwkppzE"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad criticizes a candidate for failing to meet with the head of the Soviet Union. The candidate being endorsed emphasizes that he will push for annual summit conferences with the Soviets, negotiate to stop the arms race, and take charge of American foreign policy to bring peace.","While there are 50,000 nuclear warheads in the world, the current president failed to meet with the leader of the Soviet Union. As president, the candidate would fulfill this responsibility, end the arms race, and take charge of foreign policy. He would use America's strength to maintain peace.","2;1"
"P 1907 108725","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/I8qWf7DYJQA"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The ad features an individual expressing disappointment in the candidate as a senator. The senator is critiqued for failing to provide solutions and offering alternatives as publicity stunts.  The ad emphasizes how the people expected better and that the senator let them down.","A man addresses the opposing candidate with disappointment. The opponent had promised to make driving affordable, and the man had believed him. Instead, the opponent approved offshore drilling that would not fulfill his promise in the short term. The man explains that this is a gimmick, not a solution.","1;2"
"P 1903 108459","<iframe width=""""560"""" height=""""315"""" src=""""https://www.youtube.com/embed/Iv_rt_91YiY"""" frameborder=""""0"""" allow=""""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"""" allowfullscreen></iframe>","The candidate describes his military service for America and now being dedicated to a cause greater than his own. His policy goals are to grow the economy and cut government waste. The candidate urges viewers to vote for him. Inspirational music and images of the candidate play throughout the advertisement.","The candidate discusses how he has served the country since a young age and continues to do so. He emphasizes his goals to grow the economy and cut government waste, urging the public to stop hoping for a strong America and to instead vote for one by voting for him.","2;1"
